ID;FullName;Email;PhoneNumber
b853a51c-c2b6-4222-ace9-3d5e8491229b; Bob Buyer;bob.buyer@panorama-studios.biz;20644668800
e7b0f738-81aa-42f6-853a-9b8924114cd3;Bart Koenig; bart.koenig@tecum-ag.de;01712511415
f5e820d3-a35b-4318-8f0f-655a5b082bfb;Maria Brown;maria.brown@delbont.com;2053352668
6e2fbe22-a462-4db3-bd34-c4bc08777afb;Karl Müller;do.not.reply@sap.com;01783456789
5cdca029-3dbd-46dd-b324-cb7142892ce3;Frederik Christensen;frederik.christensen@dftc.dk;29233248
ef67dbb7-8429-4d41-91f4-69b6661004b5;Jian Si;jian.si@siwusha.cn;6479751078
bddbbdb5-e805-42ee-8209-6856ff2b405a; Karl Müller;do.not.reply@sap.com;01783456789
55a55efb-16ed-4fe7-9f56-5dfe4ad3af4e; Saskia Sommer;saskia.sommer@talpa-hannover.de;01701403266
f3e2bc4b-5491-4ad4-9935-35303116162d;Alexis Harper; alexis.harper@flor-hc.com;21065470312
14767b23-3354-4c67-a273-0bd84180237f; Jorge Velez;jorge.velez@telecomunicacionesstar.com;01123224060
8e0f93ec-9f19-4946-b757-e9d25cb8c52c;Franklin Jones;franklin.jones@pear-computing.com;20767890123
d082cd13-6ae0-4e3d-b572-1c9acb062cfb;Amélie Troyat;amelie.troyat@angere.fr;613371485
